distance_cm,level_arm50,level_arm65,level_arm80
0,0,0,0
1,7,7,7
2,7,7,7
3,7,7,7
4,7,7,7
5,7,7,7
6,7,7,7
7,7,7,7
8,6,7,7
9,6,7,7
10,6,6,7
11,6,6,7
12,6,6,7
13,6,6,6
14,6,6,6
15,6,6,6
16,6,6,6
17,6,6,6
18,6,6,6
19,6,6,6
20,5,6,6
21,5,6,6
22,5,6,6
23,5,6,6
24,5,6,6
25,5,5,6
26,5,5,6
27,5,5,6
28,5,5,6
29,5,5,6
30,5,5,6
31,4,5,5
32,4,5,5
33,4,5,5
34,4,5,5
35,4,5,5
36,4,5,5
37,4,5,5
38,4,5,5
39,4,5,5
40,4,4,5
41,4,4,5
42,4,4,5
43,3,4,5
44,3,4,5
45,3,4,5
46,3,4,5
47,3,4,5
48,3,4,5
49,3,4,5
50,3,4,4
51,3,4,4
52,3,4,4
53,3,4,4
54,2,4,4
55,2,3,4
56,2,3,4
57,2,3,4
58,2,3,4
59,2,3,4
60,2,3,4
61,2,3,4
62,2,3,4
63,2,3,4
64,2,3,4
65,2,3,4
66,1,3,4
67,1,3,4
68,1,3,3
69,1,3,3
70,1,2,3
71,1,2,3
72,1,2,3
73,1,2,3
74,1,2,3
75,1,2,3
76,1,2,3
77,0,2,3
78,0,2,3
79,0,2,3
80,0,2,3
81,0,2,3
82,0,2,3
83,0,2,3
84,0,2,3
85,0,1,3
86,0,1,3
87,0,1,2
88,0,1,2
89,0,1,2
90,0,1,2
91,0,1,2
92,0,1,2
93,0,1,2
94,0,1,2
95,0,1,2
96,0,1,2
97,0,1,2
98,0,1,2
99,0,1,2
100,0,0,2
101,0,0,2
102,0,0,2
103,0,0,2
104,0,0,2
105,0,0,1
106,0,0,1
107,0,0,1
108,0,0,1
109,0,0,1
110,0,0,1
111,0,0,1
112,0,0,1
113,0,0,1
114,0,0,1
115,0,0,1
116,0,0,1
117,0,0,1
118,0,0,1
119,0,0,1
120,0,0,1
121,0,0,1
122,0,0,1
123,0,0,1
124,0,0,0
125,0,0,0
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
